城市,岗位名称,公司名称,薪资,地点
北京,python大数据工程师(数据采集岗),北京远大创新科技有限公司,1-1.2万,北京·海淀区
北京,python开发工程师,中盈优创资讯科技有限公司,6-9千,北京
北京,AI应用开发工程师(J10728),卓望信息技术（北京）有限公司,2-3万,北京·丰台区
北京,Python初级大数据开发工程师,北京远大创新科技有限公司,1-1.5万·13薪,北京·海淀区
北京,量化python开发,北京福瑞私募基金管理有限公司,8千-1.5万,北京·海淀区
北京,软件开发工程师,北京欧兴科技有限公司,7-9千,北京
北京,python开发工程师,北京中科航天人才服务有限公司,1.5-2万,北京·丰台区
北京,Python开发工程师,佰聆数据股份有限公司北京分公司,1.8-2.5万,北京·西城区
北京,Python算法工程师,深圳市睿服科技有限公司,1.5-1.9万,北京
北京,高级python开发工程师,中海成（北京）技术有限公司,1.2-2万,北京·丰台区
北京,python（工行）,东软集团股份有限公司,1.7-1.8万,北京
北京,python开发工程师（自研）,南京拾柴信息科技有限公司,1-1.5万,北京·东城区
北京,爬虫Python开发工程师,美速通商务咨询（上海）有限公司北京分公司,1-2万,北京·朝阳区
北京,python开发工程师,龙源数字城市（北京）科技有限公司,1.5-1.8万,北京·顺义区
北京,python-驻场农行-线下笔面,北京南天信息工程有限公司,1-1.6万,北京·海淀区
北京,软件开发工程师,北京欧兴科技有限公司,7-9千,北京
北京,python开发工程师,中盈优创资讯科技有限公司,6-9千,北京
北京,python大数据工程师(数据采集岗),北京远大创新科技有限公司,1-1.2万,北京·海淀区
北京,Python开发工程师RPA方向,北京友达时代科技有限公司,1.1-1.4万,北京·海淀区
北京,搜索研发工程师,北京牡丹电子集团有限责任公司,60-80万/年,北京
北京,云原生 DevOps 工程师,北京牡丹电子集团有限责任公司,1.5-2.5万,北京
北京,Principal Engineer_8777,英飞凌科技（中国）有限公司,4-4.2万·13薪,北京·大兴区
北京,AI应用开发工程师(J10728),卓望信息技术（北京）有限公司,2-3万,北京·丰台区
北京,全栈工程师（现场面试）,武汉岩迪创为信息技术有限公司,1.6-1.8万,北京·西城区
北京,Python初级大数据开发工程师,北京远大创新科技有限公司,1-1.5万·13薪,北京·海淀区
北京,量化python开发,北京福瑞私募基金管理有限公司,8千-1.5万,北京·海淀区
上海,软件工程师,北京极光星通科技有限公司,1.5-3万·14薪,上海·闵行区
上海,Python工程师(J10563),立信会计师事务所（特殊普通合伙）,1-2万,上海·黄浦区
上海,python开发工程师,上海微创软件股份有限公司,1.2-1.9万,上海
上海,Python高级工程师,上海天战信息科技有限公司,1.5-2.5万·13薪,上海·青浦区
上海,资深Python后端开发工程师,长沙易出发科技有限公司,2-2.3万·13薪,上海·浦东新区
上海,python开发工程师,深圳建广数字科技有限公司青岛分公司,1.3-1.6万,上海·浦东新区
上海,python后端开发,上海武桐树高新技术有限公司,1.5-2万,上海·浦东新区
